sorting.id,FY,hyperlink,Department,titles,links,service,program,reserve.or.not,amended.or.not
22,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Other Procurement, BA 2",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/OPN_BA_2_BOOK.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
23,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Other Procurement, BA 3",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/OPN_BA_3_BOOK.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
24,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Other Procurement, BA 4",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/OPN_BA_4_BOOK.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
25,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Other Procurement, BA 5",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/OPN_BA_5_BOOK.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
26,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Other Procurement, BA 6",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/OPN_BA_6_BOOK.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
27,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Other Procurement, BA 7",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/OPN_BA_7_BOOK.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
28,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Procurement, Marine Corps - BA 2, 3 & 5",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/PMC_BA_2-3-5_BOOK.PDF,Marine.Corps,summary.docs,not.reserve,PBR.for.this.program.was.amended
29,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Procurement, Marine Corps - BA 4",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/PMC_BA_4_BOOK.PDF,Marine.Corps,summary.docs,not.reserve,PBR.for.this.program.was.amended
30,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Procurement, Marine Corps - BA 6",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/PMC_BA_6_BOOK.PDF,Marine.Corps,summary.docs,not.reserve,PBR.for.this.program.was.amended
31,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Procurement of Ammunition, Navy & Marine Corps (Vol 1)",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/PANMC_BA_1_BOOK.PDF,Navy,Procurement.Ammunition,not.reserve,not.amended
32,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Procurement of Ammunition, Navy & Marine Corps (Vol 2)",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/proc/PANMC_BA_2_BOOK.PDF,Navy,Procurement.Ammunition,not.reserve,not.amended
33,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Base Closure & Realignment, I",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/constr/BRAC_I_book.PDF,NA,BRAC,not.reserve,not.amended
34,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Base Closure & Realignment, II",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/constr/BRAC_II_book.PDF,NA,BRAC,not.reserve,not.amended
35,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Base Closure & Realignment, III",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/constr/BRAC_III_book.PDF,NA,BRAC,not.reserve,not.amended
36,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Base Closure & Realignment, IV",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/constr/BRAC_IV_book.PDF,NA,BRAC,not.reserve,not.amended
37,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,Family Housing Construction,http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/constr/FHCON_book.PDF,NA,Military.Construction,not.reserve,PBR.for.this.program.was.amended
38,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,Military Construction & Family Housing Programs ,http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/constr/MCN_book.PDF,NA,Military.Construction,not.reserve,PBR.for.this.program.was.amended
39,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Military Construction, Navy & Marine Corps Reserve Programs",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/constr/MCNR_book.PDF,Navy,Military.Construction,reserve,PBR.for.this.program.was.amended
40,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Research & Development, Navy (BA 1 - 3)",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/rdten/RDTEN_BA_1-3_BOOK.PDF,Navy,RDT.E,not.reserve,not.amended
41,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Research & Development, Navy (BA 4)",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/rdten/RDTEN_BA_4_book.PDF,Navy,RDT.E,not.reserve,not.amended
42,2001,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2001.aspx,Navy,"Research & Development, Navy (BA 5)",http://www.secnav.navy.mil/fmc/fmb/Documents/01pres/rdten/RDTEN_BA_5_book.PDF,Navy,RDT.E,not.reserve,not.amended
